Date,State,Confirmed,Recovered,Deceased
2020-05-27,Andaman and Nicobar Islands,0,0,0
2020-05-27,Andhra Pradesh,134,48,1
2020-05-27,Arunachal Pradesh,0,0,0
2020-05-27,Assam,101,25,0
2020-05-27,Bihar,68,118,1
2020-05-27,Chandigarh,1,0,0
2020-05-27,Chhattisgarh,4,4,0
2020-05-27,Daman and Diu,0,0,0
2020-05-27,Delhi,792,310,15
2020-05-27,Dadra and Nagar Haveli,0,0,0
2020-05-27,Goa,1,9,0
2020-05-27,Gujarat,376,410,23
2020-05-27,Himachal Pradesh,26,3,2
2020-05-27,Haryana,76,14,2
2020-05-27,Jharkhand,7,0,0
2020-05-27,Jammu and Kashmir,162,21,2
2020-05-27,Karnataka,135,17,3
2020-05-27,Kerala,40,10,0
2020-05-27,Ladakh,1,0,0
2020-05-27,Lakshadweep,0,0,0
2020-05-27,Maharashtra,2190,964,105
2020-05-27,Meghalaya,0,0,0
2020-05-27,Manipur,5,0,0
2020-05-27,Madhya Pradesh,237,238,8
2020-05-27,Mizoram,0,0,0
2020-05-27,Nagaland,5,0,0
2020-05-27,Odisha,76,79,0
2020-05-27,Punjab,33,0,0
2020-05-27,Puducherry,0,0,0
2020-05-27,Rajasthan,280,286,3
2020-05-27,Sikkim,0,0,0
2020-05-27,Telangana,107,37,6
2020-05-27,Tamil Nadu,817,567,6
2020-05-27,Tripura,10,0,0
2020-05-27,Uttar Pradesh,267,167,5
2020-05-27,Uttarakhand,69,15,0
2020-05-27,West Bengal,183,92,6
