Date,State,Confirmed,Recovered,Deceased
2020-05-09,Andaman and Nicobar Islands,0,0,0
2020-05-09,Andhra Pradesh,43,45,3
2020-05-09,Arunachal Pradesh,0,0,0
2020-05-09,Assam,2,0,-1
2020-05-09,Bihar,32,51,0
2020-05-09,Chandigarh,23,3,0
2020-05-09,Chhattisgarh,0,5,0
2020-05-09,Daman and Diu,0,0,0
2020-05-09,Delhi,224,0,0
2020-05-09,Dadra and Nagar Haveli,0,0,0
2020-05-09,Goa,0,0,0
2020-05-09,Gujarat,394,219,23
2020-05-09,Himachal Pradesh,2,1,0
2020-05-09,Haryana,28,11,1
2020-05-09,Jharkhand,2,37,0
2020-05-09,Jammu and Kashmir,13,4,0
2020-05-09,Karnataka,41,10,0
2020-05-09,Kerala,2,1,0
2020-05-09,Ladakh,0,0,0
2020-05-09,Lakshadweep,0,0,0
2020-05-09,Maharashtra,1165,330,48
2020-05-09,Meghalaya,1,0,0
2020-05-09,Manipur,0,0,0
2020-05-09,Madhya Pradesh,116,131,11
2020-05-09,Mizoram,0,0,0
2020-05-09,Nagaland,0,0,0
2020-05-09,Odisha,82,5,1
2020-05-09,Punjab,31,5,2
2020-05-09,Puducherry,0,0,0
2020-05-09,Rajasthan,129,151,3
2020-05-09,Sikkim,0,0,0
2020-05-09,Telangana,31,24,1
2020-05-09,Tamil Nadu,526,219,4
2020-05-09,Tripura,17,0,0
2020-05-09,Uttar Pradesh,159,112,8
2020-05-09,Uttarakhand,4,1,0
2020-05-09,West Bengal,108,49,11
