Date,State,Confirmed,Recovered,Deceased
2020-05-06,Andaman and Nicobar Islands,0,0,0
2020-05-06,Andhra Pradesh,60,140,2
2020-05-06,Arunachal Pradesh,0,0,0
2020-05-06,Assam,1,2,0
2020-05-06,Bihar,7,0,0
2020-05-06,Chandigarh,5,0,0
2020-05-06,Chhattisgarh,0,0,0
2020-05-06,Daman and Diu,0,0,0
2020-05-06,Delhi,428,74,1
2020-05-06,Dadra and Nagar Haveli,0,0,0
2020-05-06,Goa,0,0,0
2020-05-06,Gujarat,380,119,28
2020-05-06,Himachal Pradesh,1,0,0
2020-05-06,Haryana,46,4,1
2020-05-06,Jharkhand,2,4,0
2020-05-06,Jammu and Kashmir,34,2,0
2020-05-06,Karnataka,20,23,0
2020-05-06,Kerala,0,7,0
2020-05-06,Ladakh,0,0,0
2020-05-06,Lakshadweep,0,0,0
2020-05-06,Maharashtra,1233,275,34
2020-05-06,Meghalaya,0,0,0
2020-05-06,Manipur,0,0,0
2020-05-06,Madhya Pradesh,89,99,9
2020-05-06,Mizoram,0,0,0
2020-05-06,Nagaland,0,0,0
2020-05-06,Odisha,28,1,0
2020-05-06,Punjab,75,2,2
2020-05-06,Puducherry,0,0,0
2020-05-06,Rajasthan,159,214,4
2020-05-06,Sikkim,0,0,0
2020-05-06,Telangana,11,20,0
2020-05-06,Tamil Nadu,771,31,2
2020-05-06,Tripura,22,0,0
2020-05-06,Uttar Pradesh,118,143,4
2020-05-06,Uttarakhand,0,0,0
2020-05-06,West Bengal,112,1,4
