Date,State,Confirmed,Recovered,Deceased
2020-05-10,Andaman and Nicobar Islands,0,0,0
2020-05-10,Andhra Pradesh,50,38,1
2020-05-10,Arunachal Pradesh,0,0,0
2020-05-10,Assam,1,0,0
2020-05-10,Bihar,96,36,1
2020-05-10,Chandigarh,4,0,1
2020-05-10,Chhattisgarh,0,6,0
2020-05-10,Daman and Diu,0,0,0
2020-05-10,Delhi,381,49,5
2020-05-10,Dadra and Nagar Haveli,0,0,0
2020-05-10,Goa,0,0,0
2020-05-10,Gujarat,398,454,21
2020-05-10,Himachal Pradesh,6,0,0
2020-05-10,Haryana,28,10,1
2020-05-10,Jharkhand,1,0,0
2020-05-10,Jammu and Kashmir,25,15,0
2020-05-10,Karnataka,54,36,1
2020-05-10,Kerala,7,4,0
2020-05-10,Ladakh,0,3,0
2020-05-10,Lakshadweep,0,0,0
2020-05-10,Maharashtra,1943,399,53
2020-05-10,Meghalaya,0,0,0
2020-05-10,Manipur,0,0,0
2020-05-10,Madhya Pradesh,157,196,4
2020-05-10,Mizoram,0,0,0
2020-05-10,Nagaland,0,0,0
2020-05-10,Odisha,25,0,0
2020-05-10,Punjab,61,9,0
2020-05-10,Puducherry,2,1,0
2020-05-10,Rajasthan,106,79,2
2020-05-10,Sikkim,0,0,0
2020-05-10,Telangana,33,0,0
2020-05-10,Tamil Nadu,669,135,3
2020-05-10,Tripura,16,0,0
2020-05-10,Uttar Pradesh,94,154,5
2020-05-10,Uttarakhand,1,0,0
2020-05-10,West Bengal,153,45,14
