Date,State,Confirmed,Recovered,Deceased
2020-05-01,Andaman and Nicobar Islands,0,0,0
2020-05-01,Andhra Pradesh,60,82,2
2020-05-01,Arunachal Pradesh,0,0,0
2020-05-01,Assam,0,4,0
2020-05-01,Bihar,41,14,1
2020-05-01,Chandigarh,14,0,0
2020-05-01,Chhattisgarh,3,0,0
2020-05-01,Daman and Diu,0,0,0
2020-05-01,Delhi,223,73,2
2020-05-01,Dadra and Nagar Haveli,0,0,0
2020-05-01,Goa,0,0,0
2020-05-01,Gujarat,326,123,22
2020-05-01,Himachal Pradesh,0,2,0
2020-05-01,Haryana,18,6,0
2020-05-01,Jharkhand,3,2,0
2020-05-01,Jammu and Kashmir,25,31,0
2020-05-01,Karnataka,24,22,0
2020-05-01,Kerala,0,9,0
2020-05-01,Ladakh,0,0,0
2020-05-01,Lakshadweep,0,0,0
2020-05-01,Maharashtra,1008,106,26
2020-05-01,Meghalaya,0,10,0
2020-05-01,Manipur,0,0,0
2020-05-01,Madhya Pradesh,90,42,8
2020-05-01,Mizoram,0,0,0
2020-05-01,Nagaland,0,0,0
2020-05-01,Odisha,11,14,0
2020-05-01,Punjab,105,4,0
2020-05-01,Puducherry,0,0,0
2020-05-01,Rajasthan,82,223,4
2020-05-01,Sikkim,0,0,0
2020-05-01,Telangana,6,22,0
2020-05-01,Tamil Nadu,203,54,1
2020-05-01,Tripura,0,0,0
2020-05-01,Uttar Pradesh,117,103,2
2020-05-01,Uttarakhand,0,1,1
2020-05-01,West Bengal,37,15,8
