Date,State,Confirmed,Recovered,Deceased
2020-05-14,Andaman and Nicobar Islands,0,0,0
2020-05-14,Andhra Pradesh,68,50,1
2020-05-14,Arunachal Pradesh,0,0,0
2020-05-14,Assam,7,0,0
2020-05-14,Bihar,46,12,0
2020-05-14,Chandigarh,0,7,0
2020-05-14,Chhattisgarh,1,1,0
2020-05-14,Daman and Diu,0,0,0
2020-05-14,Delhi,472,187,9
2020-05-14,Dadra and Nagar Haveli,0,0,0
2020-05-14,Goa,8,0,0
2020-05-14,Gujarat,324,191,20
2020-05-14,Himachal Pradesh,6,0,0
2020-05-14,Haryana,25,21,0
2020-05-14,Jharkhand,26,0,0
2020-05-14,Jammu and Kashmir,12,19,0
2020-05-14,Karnataka,28,9,2
2020-05-14,Kerala,26,3,0
2020-05-14,Ladakh,0,0,0
2020-05-14,Lakshadweep,0,0,0
2020-05-14,Maharashtra,1602,542,44
2020-05-14,Meghalaya,0,0,0
2020-05-14,Manipur,1,0,0
2020-05-14,Madhya Pradesh,253,167,5
2020-05-14,Mizoram,0,0,0
2020-05-14,Nagaland,0,0,0
2020-05-14,Odisha,134,15,0
2020-05-14,Punjab,11,23,0
2020-05-14,Puducherry,3,0,0
2020-05-14,Rajasthan,206,65,4
2020-05-14,Sikkim,0,0,0
2020-05-14,Telangana,47,13,0
2020-05-14,Tamil Nadu,447,65,2
2020-05-14,Tripura,1,27,0
2020-05-14,Uttar Pradesh,144,107,2
2020-05-14,Uttarakhand,6,4,0
2020-05-14,West Bengal,87,66,8
