Date,State,Confirmed,Recovered,Deceased
2020-05-13,Andaman and Nicobar Islands,0,0,0
2020-05-13,Andhra Pradesh,48,86,1
2020-05-13,Arunachal Pradesh,0,0,0
2020-05-13,Assam,15,0,0
2020-05-13,Bihar,74,18,1
2020-05-13,Chandigarh,4,0,0
2020-05-13,Chhattisgarh,0,1,0
2020-05-13,Daman and Diu,0,0,0
2020-05-13,Delhi,359,346,20
2020-05-13,Dadra and Nagar Haveli,0,0,0
2020-05-13,Goa,0,0,0
2020-05-13,Gujarat,364,316,29
2020-05-13,Himachal Pradesh,1,0,0
2020-05-13,Haryana,13,76,0
2020-05-13,Jharkhand,5,8,0
2020-05-13,Jammu and Kashmir,37,11,1
2020-05-13,Karnataka,34,18,2
2020-05-13,Kerala,10,1,0
2020-05-13,Ladakh,1,0,0
2020-05-13,Lakshadweep,0,0,0
2020-05-13,Maharashtra,1495,422,54
2020-05-13,Meghalaya,0,1,0
2020-05-13,Manipur,0,0,0
2020-05-13,Madhya Pradesh,187,144,7
2020-05-13,Mizoram,0,0,0
2020-05-13,Nagaland,0,0,0
2020-05-13,Odisha,101,27,0
2020-05-13,Punjab,10,29,0
2020-05-13,Puducherry,1,0,0
2020-05-13,Rajasthan,202,119,4
2020-05-13,Sikkim,0,0,0
2020-05-13,Telangana,41,117,2
2020-05-13,Tamil Nadu,509,41,3
2020-05-13,Tripura,1,0,0
2020-05-13,Uttar Pradesh,94,92,4
2020-05-13,Uttarakhand,3,0,0
2020-05-13,West Bengal,117,90,9
