Date,State,Confirmed,Recovered,Deceased
2020-05-19,Andaman and Nicobar Islands,0,0,0
2020-05-19,Andhra Pradesh,57,69,2
2020-05-19,Arunachal Pradesh,0,0,0
2020-05-19,Assam,42,0,0
2020-05-19,Bihar,96,0,0
2020-05-19,Chandigarh,3,3,0
2020-05-19,Chhattisgarh,5,0,0
2020-05-19,Daman and Diu,0,0,0
2020-05-19,Delhi,500,265,6
2020-05-19,Dadra and Nagar Haveli,0,0,0
2020-05-19,Goa,8,0,0
2020-05-19,Gujarat,395,239,25
2020-05-19,Himachal Pradesh,2,5,1
2020-05-19,Haryana,36,29,0
2020-05-19,Jharkhand,20,0,0
2020-05-19,Jammu and Kashmir,28,38,2
2020-05-19,Karnataka,149,13,3
2020-05-19,Kerala,12,0,0
2020-05-19,Ladakh,0,0,0
2020-05-19,Lakshadweep,0,0,0
2020-05-19,Maharashtra,2078,1202,76
2020-05-19,Meghalaya,0,0,0
2020-05-19,Manipur,2,0,0
2020-05-19,Madhya Pradesh,229,196,6
2020-05-19,Mizoram,0,0,0
2020-05-19,Nagaland,0,0,0
2020-05-19,Odisha,102,30,1
2020-05-19,Punjab,22,95,1
2020-05-19,Puducherry,5,1,0
2020-05-19,Rajasthan,338,119,5
2020-05-19,Sikkim,0,0,0
2020-05-19,Telangana,42,9,4
2020-05-19,Tamil Nadu,688,489,3
2020-05-19,Tripura,8,27,0
2020-05-19,Uttar Pradesh,321,135,5
2020-05-19,Uttarakhand,15,0,0
2020-05-19,West Bengal,137,68,6
