Date,State,Confirmed,Recovered,Deceased
2020-05-11,Andaman and Nicobar Islands,0,0,0
2020-05-11,Andhra Pradesh,38,73,0
2020-05-11,Arunachal Pradesh,0,0,0
2020-05-11,Assam,2,5,0
2020-05-11,Bihar,42,23,0
2020-05-11,Chandigarh,8,4,0
2020-05-11,Chhattisgarh,0,4,0
2020-05-11,Daman and Diu,0,0,0
2020-05-11,Delhi,310,60,0
2020-05-11,Dadra and Nagar Haveli,0,0,0
2020-05-11,Goa,0,0,0
2020-05-11,Gujarat,347,235,20
2020-05-11,Himachal Pradesh,1,0,0
2020-05-11,Haryana,27,37,1
2020-05-11,Jharkhand,4,0,0
2020-05-11,Jammu and Kashmir,18,44,1
2020-05-11,Karnataka,14,4,0
2020-05-11,Kerala,7,0,0
2020-05-11,Ladakh,0,1,0
2020-05-11,Lakshadweep,0,0,0
2020-05-11,Maharashtra,1230,587,36
2020-05-11,Meghalaya,0,0,0
2020-05-11,Manipur,0,0,0
2020-05-11,Madhya Pradesh,171,71,6
2020-05-11,Mizoram,0,0,0
2020-05-11,Nagaland,0,0,0
2020-05-11,Odisha,38,17,0
2020-05-11,Punjab,54,2,0
2020-05-11,Puducherry,0,0,0
2020-05-11,Rajasthan,174,83,5
2020-05-11,Sikkim,0,0,0
2020-05-11,Telangana,79,50,0
2020-05-11,Tamil Nadu,798,92,6
2020-05-11,Tripura,0,0,0
2020-05-11,Uttar Pradesh,106,105,1
2020-05-11,Uttarakhand,0,0,0
2020-05-11,West Bengal,124,82,5
