Date,State,Confirmed,Recovered,Deceased
2020-05-22,Andaman and Nicobar Islands,0,0,0
2020-05-22,Andhra Pradesh,62,26,1
2020-05-22,Arunachal Pradesh,0,0,0
2020-05-22,Assam,15,0,0
2020-05-22,Bihar,179,58,2
2020-05-22,Chandigarh,1,0,0
2020-05-22,Chhattisgarh,44,3,0
2020-05-22,Daman and Diu,0,0,0
2020-05-22,Delhi,660,330,14
2020-05-22,Dadra and Nagar Haveli,0,0,0
2020-05-22,Goa,2,9,0
2020-05-22,Gujarat,363,392,29
2020-05-22,Himachal Pradesh,16,0,0
2020-05-22,Haryana,37,25,2
2020-05-22,Jharkhand,20,0,0
2020-05-22,Jammu and Kashmir,40,36,0
2020-05-22,Karnataka,138,26,0
2020-05-22,Kerala,42,2,1
2020-05-22,Ladakh,2,0,0
2020-05-22,Lakshadweep,0,0,0
2020-05-22,Maharashtra,2940,857,63
2020-05-22,Meghalaya,0,0,0
2020-05-22,Manipur,1,0,0
2020-05-22,Madhya Pradesh,189,245,1
2020-05-22,Mizoram,0,0,0
2020-05-22,Nagaland,0,0,0
2020-05-22,Odisha,86,43,0
2020-05-22,Punjab,1,28,0
2020-05-22,Puducherry,3,0,0
2020-05-22,Rajasthan,267,195,2
2020-05-22,Sikkim,0,0,0
2020-05-22,Telangana,62,7,3
2020-05-22,Tamil Nadu,786,846,4
2020-05-22,Tripura,0,4,0
2020-05-22,Uttar Pradesh,220,120,14
2020-05-22,Uttarakhand,8,0,0
2020-05-22,West Bengal,135,28,6
