Date,State,Confirmed,Recovered,Deceased
2020-05-07,Andaman and Nicobar Islands,0,1,0
2020-05-07,Andhra Pradesh,56,51,2
2020-05-07,Arunachal Pradesh,0,0,0
2020-05-07,Assam,8,0,0
2020-05-07,Bihar,8,60,1
2020-05-07,Chandigarh,11,0,0
2020-05-07,Chhattisgarh,0,0,0
2020-05-07,Daman and Diu,0,0,0
2020-05-07,Delhi,448,389,1
2020-05-07,Dadra and Nagar Haveli,0,0,0
2020-05-07,Goa,0,0,0
2020-05-07,Gujarat,388,209,29
2020-05-07,Himachal Pradesh,3,0,0
2020-05-07,Haryana,31,0,0
2020-05-07,Jharkhand,5,4,0
2020-05-07,Jammu and Kashmir,18,13,1
2020-05-07,Karnataka,12,12,1
2020-05-07,Kerala,0,5,0
2020-05-07,Ladakh,0,0,0
2020-05-07,Lakshadweep,0,0,0
2020-05-07,Maharashtra,1216,207,43
2020-05-07,Meghalaya,0,0,0
2020-05-07,Manipur,0,0,0
2020-05-07,Madhya Pradesh,114,132,8
2020-05-07,Mizoram,0,0,0
2020-05-07,Nagaland,0,0,0
2020-05-07,Odisha,14,1,0
2020-05-07,Punjab,118,14,1
2020-05-07,Puducherry,0,0,0
2020-05-07,Rajasthan,110,150,6
2020-05-07,Sikkim,0,0,0
2020-05-07,Telangana,15,45,0
2020-05-07,Tamil Nadu,580,31,2
2020-05-07,Tripura,24,0,0
2020-05-07,Uttar Pradesh,73,120,2
2020-05-07,Uttarakhand,0,0,0
2020-05-07,West Bengal,92,31,7
