Date,State,Confirmed,Recovered,Deceased
2020-05-21,Andaman and Nicobar Islands,0,0,0
2020-05-21,Andhra Pradesh,45,41,1
2020-05-21,Arunachal Pradesh,0,0,0
2020-05-21,Assam,22,6,0
2020-05-21,Bihar,211,0,0
2020-05-21,Chandigarh,16,42,0
2020-05-21,Chhattisgarh,14,0,0
2020-05-21,Daman and Diu,0,0,0
2020-05-21,Delhi,571,375,18
2020-05-21,Dadra and Nagar Haveli,0,0,0
2020-05-21,Goa,2,0,0
2020-05-21,Gujarat,371,269,24
2020-05-21,Himachal Pradesh,42,5,0
2020-05-21,Haryana,37,33,0
2020-05-21,Jharkhand,13,7,0
2020-05-21,Jammu and Kashmir,59,6,2
2020-05-21,Karnataka,143,15,0
2020-05-21,Kerala,24,8,0
2020-05-21,Ladakh,0,0,0
2020-05-21,Lakshadweep,0,0,0
2020-05-21,Maharashtra,2345,1408,64
2020-05-21,Meghalaya,0,0,0
2020-05-21,Manipur,0,0,0
2020-05-21,Madhya Pradesh,246,110,4
2020-05-21,Mizoram,0,0,0
2020-05-21,Nagaland,0,0,0
2020-05-21,Odisha,51,50,1
2020-05-21,Punjab,23,25,1
2020-05-21,Puducherry,0,0,0
2020-05-21,Rajasthan,212,81,4
2020-05-21,Sikkim,0,0,0
2020-05-21,Telangana,38,23,5
2020-05-21,Tamil Nadu,776,400,7
2020-05-21,Tripura,2,32,0
2020-05-21,Uttar Pradesh,340,138,11
2020-05-21,Uttarakhand,19,0,0
2020-05-21,West Bengal,94,57,6
