Date,State,Confirmed,Recovered,Deceased
2020-05-18,Andaman and Nicobar Islands,0,0,0
2020-05-18,Andhra Pradesh,52,96,0
2020-05-18,Arunachal Pradesh,0,0,0
2020-05-18,Assam,15,0,2
2020-05-18,Bihar,103,44,1
2020-05-18,Chandigarh,5,3,0
2020-05-18,Chhattisgarh,10,0,0
2020-05-18,Daman and Diu,0,0,0
2020-05-18,Delhi,299,283,12
2020-05-18,Dadra and Nagar Haveli,0,0,0
2020-05-18,Goa,9,0,0
2020-05-18,Gujarat,366,305,35
2020-05-18,Himachal Pradesh,10,2,0
2020-05-18,Haryana,18,36,0
2020-05-18,Jharkhand,5,14,0
2020-05-18,Jammu and Kashmir,106,34,2
2020-05-18,Karnataka,99,21,0
2020-05-18,Kerala,29,0,0
2020-05-18,Ladakh,0,19,0
2020-05-18,Lakshadweep,0,0,0
2020-05-18,Maharashtra,2005,749,51
2020-05-18,Meghalaya,0,1,0
2020-05-18,Manipur,0,0,0
2020-05-18,Madhya Pradesh,259,32,4
2020-05-18,Mizoram,0,0,0
2020-05-18,Nagaland,0,0,0
2020-05-18,Odisha,48,57,0
2020-05-18,Punjab,16,181,2
2020-05-18,Puducherry,0,0,0
2020-05-18,Rajasthan,305,163,7
2020-05-18,Sikkim,0,0,0
2020-05-18,Telangana,41,10,0
2020-05-18,Tamil Nadu,536,234,3
2020-05-18,Tripura,0,4,0
2020-05-18,Uttar Pradesh,141,147,6
2020-05-18,Uttarakhand,4,0,0
2020-05-18,West Bengal,147,47,6
