Date,State,Confirmed,Recovered,Deceased
2020-05-24,Andaman and Nicobar Islands,0,0,0
2020-05-24,Andhra Pradesh,66,62,0
2020-05-24,Arunachal Pradesh,1,0,0
2020-05-24,Assam,46,1,0
2020-05-24,Bihar,180,49,0
2020-05-24,Chandigarh,37,0,1
2020-05-24,Chhattisgarh,38,0,0
2020-05-24,Daman and Diu,0,0,0
2020-05-24,Delhi,508,273,30
2020-05-24,Dadra and Nagar Haveli,0,0,0
2020-05-24,Goa,11,0,0
2020-05-24,Gujarat,394,243,29
2020-05-24,Himachal Pradesh,18,2,0
2020-05-24,Haryana,53,15,0
2020-05-24,Jharkhand,20,7,1
2020-05-24,Jammu and Kashmir,52,35,0
2020-05-24,Karnataka,130,46,0
2020-05-24,Kerala,53,5,1
2020-05-24,Ladakh,3,0,0
2020-05-24,Lakshadweep,0,0,0
2020-05-24,Maharashtra,3041,1196,58
2020-05-24,Meghalaya,0,0,0
2020-05-24,Manipur,3,2,0
2020-05-24,Madhya Pradesh,294,141,9
2020-05-24,Mizoram,0,0,0
2020-05-24,Nagaland,0,0,0
2020-05-24,Odisha,67,53,0
2020-05-24,Punjab,15,28,1
2020-05-24,Puducherry,15,2,0
2020-05-24,Rajasthan,286,62,3
2020-05-24,Sikkim,0,0,0
2020-05-24,Telangana,41,24,4
2020-05-24,Tamil Nadu,765,833,8
2020-05-24,Tripura,3,13,0
2020-05-24,Uttar Pradesh,251,132,6
2020-05-24,Uttarakhand,73,3,2
2020-05-24,West Bengal,208,58,3
