Date,State,Confirmed,Recovered,Deceased
2020-05-12,Andaman and Nicobar Islands,0,0,0
2020-05-12,Andhra Pradesh,71,58,1
2020-05-12,Arunachal Pradesh,0,0,0
2020-05-12,Assam,0,0,0
2020-05-12,Bihar,130,5,0
2020-05-12,Chandigarh,6,2,0
2020-05-12,Chhattisgarh,0,1,0
2020-05-12,Daman and Diu,0,0,0
2020-05-12,Delhi,406,383,13
2020-05-12,Dadra and Nagar Haveli,0,1,0
2020-05-12,Goa,0,0,0
2020-05-12,Gujarat,362,466,24
2020-05-12,Himachal Pradesh,8,0,0
2020-05-12,Haryana,50,5,0
2020-05-12,Jharkhand,11,1,0
2020-05-12,Jammu and Kashmir,55,28,0
2020-05-12,Karnataka,63,7,0
2020-05-12,Kerala,5,0,0
2020-05-12,Ladakh,0,0,0
2020-05-12,Lakshadweep,0,0,0
2020-05-12,Maharashtra,1026,339,53
2020-05-12,Meghalaya,0,0,0
2020-05-12,Manipur,0,0,0
2020-05-12,Madhya Pradesh,201,113,4
2020-05-12,Mizoram,0,0,0
2020-05-12,Nagaland,0,0,0
2020-05-12,Odisha,22,31,0
2020-05-12,Punjab,37,3,1
2020-05-12,Puducherry,0,0,0
2020-05-12,Rajasthan,138,130,4
2020-05-12,Sikkim,0,0,0
2020-05-12,Telangana,51,21,2
2020-05-12,Tamil Nadu,716,83,8
2020-05-12,Tripura,2,0,0
2020-05-12,Uttar Pradesh,91,115,2
2020-05-12,Uttarakhand,1,0,0
2020-05-12,West Bengal,110,113,8
