Date,State,Confirmed,Recovered,Deceased
2020-06-02,Andaman and Nicobar Islands,0,0,0
2020-06-02,Andhra Pradesh,115,40,0
2020-06-02,Arunachal Pradesh,6,0,0
2020-06-02,Assam,76,53,0
2020-06-02,Bihar,151,62,1
2020-06-02,Chandigarh,4,0,1
2020-06-02,Chhattisgarh,17,9,0
2020-06-02,Daman and Diu,0,0,0
2020-06-02,Delhi,1298,497,33
2020-06-02,Dadra and Nagar Haveli,0,0,0
2020-06-02,Goa,6,7,0
2020-06-02,Gujarat,415,1114,29
2020-06-02,Himachal Pradesh,5,18,0
2020-06-02,Haryana,296,14,2
2020-06-02,Jharkhand,61,0,0
2020-06-02,Jammu and Kashmir,117,7,2
2020-06-02,Karnataka,388,75,0
2020-06-02,Kerala,86,19,1
2020-06-02,Ladakh,4,0,1
2020-06-02,Lakshadweep,0,0,0
2020-06-02,Maharashtra,2287,1225,103
2020-06-02,Meghalaya,2,0,0
2020-06-02,Manipur,6,3,0
2020-06-02,Madhya Pradesh,137,218,6
2020-06-02,Mizoram,12,0,0
2020-06-02,Nagaland,6,0,0
2020-06-02,Odisha,141,80,0
2020-06-02,Punjab,41,17,2
2020-06-02,Puducherry,0,0,0
2020-06-02,Rajasthan,273,222,4
2020-06-02,Sikkim,0,0,0
2020-06-02,Telangana,99,35,4
2020-06-02,Tamil Nadu,1091,536,13
2020-06-02,Tripura,48,0,0
2020-06-02,Uttar Pradesh,368,146,7
2020-06-02,Uttarakhand,84,30,2
2020-06-02,West Bengal,396,104,10
