Date,State,Confirmed,Recovered,Deceased
2020-05-20,Andaman and Nicobar Islands,0,0,0
2020-05-20,Andhra Pradesh,71,43,1
2020-05-20,Arunachal Pradesh,0,0,0
2020-05-20,Assam,31,7,0
2020-05-20,Bihar,257,54,0
2020-05-20,Chandigarh,3,79,0
2020-05-20,Chhattisgarh,14,0,0
2020-05-20,Daman and Diu,0,0,0
2020-05-20,Delhi,534,442,10
2020-05-20,Dadra and Nagar Haveli,0,0,0
2020-05-20,Goa,4,0,0
2020-05-20,Gujarat,398,176,30
2020-05-20,Himachal Pradesh,18,3,0
2020-05-20,Haryana,29,21,0
2020-05-20,Jharkhand,42,2,0
2020-05-20,Jammu and Kashmir,73,31,1
2020-05-20,Karnataka,67,13,1
2020-05-20,Kerala,24,5,0
2020-05-20,Ladakh,1,0,0
2020-05-20,Lakshadweep,0,0,0
2020-05-20,Maharashtra,2161,679,65
2020-05-20,Meghalaya,1,0,0
2020-05-20,Manipur,16,0,0
2020-05-20,Madhya Pradesh,270,103,9
2020-05-20,Mizoram,0,0,0
2020-05-20,Nagaland,0,0,0
2020-05-20,Odisha,74,36,1
2020-05-20,Punjab,3,152,0
2020-05-20,Puducherry,1,0,0
2020-05-20,Rajasthan,170,67,4
2020-05-20,Sikkim,0,0,0
2020-05-20,Telangana,27,2,2
2020-05-20,Tamil Nadu,743,987,3
2020-05-20,Tripura,0,0,0
2020-05-20,Uttar Pradesh,249,148,4
2020-05-20,Uttarakhand,15,1,0
2020-05-20,West Bengal,142,62,3
