Date,State,Confirmed,Recovered,Deceased
2020-05-15,Andaman and Nicobar Islands,0,0,0
2020-05-15,Andhra Pradesh,102,60,0
2020-05-15,Arunachal Pradesh,0,0,0
2020-05-15,Assam,3,1,0
2020-05-15,Bihar,34,28,0
2020-05-15,Chandigarh,0,3,0
2020-05-15,Chhattisgarh,6,0,0
2020-05-15,Daman and Diu,0,0,0
2020-05-15,Delhi,425,473,8
2020-05-15,Dadra and Nagar Haveli,0,0,0
2020-05-15,Goa,0,0,0
2020-05-15,Gujarat,340,282,20
2020-05-15,Himachal Pradesh,2,0,0
2020-05-15,Haryana,36,25,2
2020-05-15,Jharkhand,8,10,0
2020-05-15,Jammu and Kashmir,30,28,0
2020-05-15,Karnataka,69,20,1
2020-05-15,Kerala,16,0,0
2020-05-15,Ladakh,0,2,0
2020-05-15,Lakshadweep,0,0,0
2020-05-15,Maharashtra,1576,475,49
2020-05-15,Meghalaya,0,0,0
2020-05-15,Manipur,0,0,0
2020-05-15,Madhya Pradesh,169,112,2
2020-05-15,Mizoram,0,0,0
2020-05-15,Nagaland,0,0,0
2020-05-15,Odisha,65,8,0
2020-05-15,Punjab,-3,82,0
2020-05-15,Puducherry,0,0,0
2020-05-15,Rajasthan,213,91,0
2020-05-15,Sikkim,0,0,0
2020-05-15,Telangana,40,7,0
2020-05-15,Tamil Nadu,434,359,5
2020-05-15,Tripura,0,13,0
2020-05-15,Uttar Pradesh,155,93,7
2020-05-15,Uttarakhand,4,1,0
2020-05-15,West Bengal,84,61,10
