Date,State,Confirmed,Recovered,Deceased
2020-05-25,Andaman and Nicobar Islands,0,0,0
2020-05-25,Andhra Pradesh,106,51,0
2020-05-25,Arunachal Pradesh,0,0,0
2020-05-25,Assam,156,5,0
2020-05-25,Bihar,163,31,2
2020-05-25,Chandigarh,4,8,0
2020-05-25,Chhattisgarh,40,3,0
2020-05-25,Daman and Diu,0,0,0
2020-05-25,Delhi,635,231,15
2020-05-25,Dadra and Nagar Haveli,0,0,0
2020-05-25,Goa,1,3,0
2020-05-25,Gujarat,405,224,30
2020-05-25,Himachal Pradesh,20,4,0
2020-05-25,Haryana,29,37,0
2020-05-25,Jharkhand,35,0,0
2020-05-25,Jammu and Kashmir,47,0,2
2020-05-25,Karnataka,93,51,2
2020-05-25,Kerala,49,12,0
2020-05-25,Ladakh,1,0,0
2020-05-25,Lakshadweep,0,0,0
2020-05-25,Maharashtra,2436,1186,60
2020-05-25,Meghalaya,1,0,0
2020-05-25,Manipur,4,0,0
2020-05-25,Madhya Pradesh,194,163,10
2020-05-25,Mizoram,0,0,0
2020-05-25,Nagaland,3,0,0
2020-05-25,Odisha,102,99,0
2020-05-25,Punjab,21,15,0
2020-05-25,Puducherry,8,5,0
2020-05-25,Rajasthan,272,208,4
2020-05-25,Sikkim,0,0,0
2020-05-25,Telangana,66,72,3
2020-05-25,Tamil Nadu,805,407,7
2020-05-25,Tripura,4,0,0
2020-05-25,Uttar Pradesh,229,122,8
2020-05-25,Uttarakhand,32,0,1
2020-05-25,West Bengal,149,75,6
