Date,State,Confirmed,Recovered,Deceased
2020-05-26,Andaman and Nicobar Islands,0,0,0
2020-05-26,Andhra Pradesh,97,125,1
2020-05-26,Arunachal Pradesh,0,0,0
2020-05-26,Assam,134,0,0
2020-05-26,Bihar,231,67,1
2020-05-26,Chandigarh,12,0,0
2020-05-26,Chhattisgarh,68,12,0
2020-05-26,Daman and Diu,0,0,0
2020-05-26,Delhi,412,183,12
2020-05-26,Dadra and Nagar Haveli,0,0,0
2020-05-26,Goa,0,9,0
2020-05-26,Gujarat,361,501,27
2020-05-26,Himachal Pradesh,24,0,0
2020-05-26,Haryana,92,22,0
2020-05-26,Jharkhand,21,5,0
2020-05-26,Jammu and Kashmir,91,24,1
2020-05-26,Karnataka,101,59,0
2020-05-26,Kerala,67,10,1
2020-05-26,Ladakh,0,0,0
2020-05-26,Lakshadweep,0,0,0
2020-05-26,Maharashtra,2091,1168,97
2020-05-26,Meghalaya,5,0,0
2020-05-26,Manipur,3,0,0
2020-05-26,Madhya Pradesh,165,118,5
2020-05-26,Mizoram,0,0,0
2020-05-26,Nagaland,1,0,0
2020-05-26,Odisha,79,84,0
2020-05-26,Punjab,25,5,0
2020-05-26,Puducherry,0,0,0
2020-05-26,Rajasthan,236,220,3
2020-05-26,Sikkim,0,0,0
2020-05-26,Telangana,112,120,1
2020-05-26,Tamil Nadu,646,611,11
2020-05-26,Tripura,34,0,0
2020-05-26,Uttar Pradesh,227,164,8
2020-05-26,Uttarakhand,51,6,0
2020-05-26,West Bengal,193,72,5
