Date,State,Confirmed,Recovered,Deceased
2020-05-23,Andaman and Nicobar Islands,0,0,0
2020-05-23,Andhra Pradesh,47,48,1
2020-05-23,Arunachal Pradesh,0,0,0
2020-05-23,Assam,121,2,0
2020-05-23,Bihar,228,24,0
2020-05-23,Chandigarh,6,1,0
2020-05-23,Chhattisgarh,42,2,0
2020-05-23,Daman and Diu,0,0,0
2020-05-23,Delhi,591,370,23
2020-05-23,Dadra and Nagar Haveli,1,0,0
2020-05-23,Goa,1,0,0
2020-05-23,Gujarat,396,289,27
2020-05-23,Himachal Pradesh,17,2,0
2020-05-23,Haryana,64,44,0
2020-05-23,Jharkhand,27,5,0
2020-05-23,Jammu and Kashmir,80,54,1
2020-05-23,Karnataka,216,11,1
2020-05-23,Kerala,62,3,0
2020-05-23,Ladakh,3,0,0
2020-05-23,Lakshadweep,0,0,0
2020-05-23,Maharashtra,2608,821,60
2020-05-23,Meghalaya,0,0,0
2020-05-23,Manipur,3,0,0
2020-05-23,Madhya Pradesh,201,178,9
2020-05-23,Mizoram,0,0,0
2020-05-23,Nagaland,0,0,0
2020-05-23,Odisha,80,61,0
2020-05-23,Punjab,16,23,0
2020-05-23,Puducherry,0,0,0
2020-05-23,Rajasthan,248,106,7
2020-05-23,Sikkim,1,0,0
2020-05-23,Telangana,52,25,1
2020-05-23,Tamil Nadu,759,363,5
2020-05-23,Tripura,16,0,0
2020-05-23,Uttar Pradesh,282,82,3
2020-05-23,Uttarakhand,91,2,0
2020-05-23,West Bengal,127,60,4
