Date,State,Confirmed,Recovered,Deceased
2020-05-16,Andaman and Nicobar Islands,0,0,0
2020-05-16,Andhra Pradesh,48,101,1
2020-05-16,Arunachal Pradesh,0,0,0
2020-05-16,Assam,3,0,0
2020-05-16,Bihar,145,33,1
2020-05-16,Chandigarh,0,11,0
2020-05-16,Chhattisgarh,1,2,0
2020-05-16,Daman and Diu,0,0,0
2020-05-16,Delhi,438,408,6
2020-05-16,Dadra and Nagar Haveli,0,0,0
2020-05-16,Goa,5,0,0
2020-05-16,Gujarat,1057,273,19
2020-05-16,Himachal Pradesh,2,4,0
2020-05-16,Haryana,33,50,0
2020-05-16,Jharkhand,6,16,0
2020-05-16,Jammu and Kashmir,108,29,1
2020-05-16,Karnataka,36,16,0
2020-05-16,Kerala,11,4,0
2020-05-16,Ladakh,0,0,0
2020-05-16,Lakshadweep,0,0,0
2020-05-16,Maharashtra,1606,524,67
2020-05-16,Meghalaya,0,0,0
2020-05-16,Manipur,4,0,0
2020-05-16,Madhya Pradesh,195,32,4
2020-05-16,Mizoram,0,0,0
2020-05-16,Nagaland,0,0,0
2020-05-16,Odisha,0,30,0
2020-05-16,Punjab,14,952,0
2020-05-16,Puducherry,1,0,0
2020-05-16,Rajasthan,213,215,1
2020-05-16,Sikkim,0,0,0
2020-05-16,Telangana,55,12,0
2020-05-16,Tamil Nadu,477,939,4
2020-05-16,Tripura,11,22,0
2020-05-16,Uttar Pradesh,201,276,9
2020-05-16,Uttarakhand,9,0,0
2020-05-16,West Bengal,115,63,7
