Date,State,Confirmed,Recovered,Deceased
2020-05-17,Andaman and Nicobar Islands,0,0,0
2020-05-17,Andhra Pradesh,25,103,1
2020-05-17,Arunachal Pradesh,0,0,0
2020-05-17,Assam,8,1,0
2020-05-17,Bihar,142,0,0
2020-05-17,Chandigarh,0,0,0
2020-05-17,Chhattisgarh,18,1,0
2020-05-17,Daman and Diu,0,0,0
2020-05-17,Delhi,422,276,19
2020-05-17,Dadra and Nagar Haveli,0,0,0
2020-05-17,Goa,9,0,0
2020-05-17,Gujarat,391,191,34
2020-05-17,Himachal Pradesh,2,1,0
2020-05-17,Haryana,23,48,1
2020-05-17,Jharkhand,6,0,0
2020-05-17,Jammu and Kashmir,62,33,1
2020-05-17,Karnataka,55,13,1
2020-05-17,Kerala,14,0,0
2020-05-17,Ladakh,0,0,0
2020-05-17,Lakshadweep,0,0,0
2020-05-17,Maharashtra,2347,600,63
2020-05-17,Meghalaya,0,0,0
2020-05-17,Manipur,0,0,0
2020-05-17,Madhya Pradesh,187,88,5
2020-05-17,Mizoram,0,0,0
2020-05-17,Nagaland,0,0,0
2020-05-17,Odisha,91,24,1
2020-05-17,Punjab,18,109,3
2020-05-17,Puducherry,0,0,0
2020-05-17,Rajasthan,242,111,5
2020-05-17,Sikkim,0,0,0
2020-05-17,Telangana,42,21,0
2020-05-17,Tamil Nadu,639,634,4
2020-05-17,Tripura,-2,21,0
2020-05-17,Uttar Pradesh,206,195,8
2020-05-17,Uttarakhand,1,1,0
2020-05-17,West Bengal,101,67,6
